City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
396,Bria,CF,6.5423,21.9863,68.34,96,100,1.39,overcast clouds,2021-08-07 20:20:22
397,Bilma,NE,18.6853,12.9164,98.74,21,88,13.09,overcast clouds,2021-08-07 20:20:22
398,Quelimane,MZ,-17.8786,36.8883,69.75,83,0,3.44,clear sky,2021-08-07 20:20:23
399,Rio Grande,BR,-32.035,-52.0986,73.51,81,0,11.1,clear sky,2021-08-07 20:18:36
400,Ulaangom,MN,49.9811,92.0667,58.69,63,100,1.97,overcast clouds,2021-08-07 20:17:53
401,Eyl,SO,7.9803,49.8164,76.05,81,31,24.47,scattered clouds,2021-08-07 20:20:23
402,Ucluelet,CA,48.9329,-125.5528,64.71,92,100,6.38,overcast clouds,2021-08-07 20:18:40
403,Shenjiamen,CN,29.9576,122.298,79.52,86,3,17.87,clear sky,2021-08-07 20:20:23
404,Idukki,IN,9.85,76.9667,69.55,99,100,2.1,overcast clouds,2021-08-07 20:20:24
405,Biltine,TD,14.5333,20.9167,80.62,64,74,9.33,broken clouds,2021-08-07 20:20:24
406,Caravelas,BR,-17.7125,-39.2481,68.04,84,100,10.94,overcast clouds,2021-08-07 20:20:24
407,Calvia,ES,39.5657,2.5062,82.92,78,12,5.75,few clouds,2021-08-07 20:20:25
408,Gwadar,PK,25.1216,62.3254,80.62,85,99,5.66,overcast clouds,2021-08-07 20:16:19
409,Sinnamary,GF,5.3833,-52.95,79.79,86,99,6.06,moderate rain,2021-08-07 20:20:25
410,Pontal Do Parana,BR,-25.6533,-48.5128,71.26,89,98,4.16,overcast clouds,2021-08-07 20:20:26
411,Naliya,IN,23.2667,68.8333,82.26,73,68,12.55,broken clouds,2021-08-07 20:20:26
412,Pulandian,CN,39.3953,121.9669,73.53,83,27,3.53,scattered clouds,2021-08-07 20:20:26
413,Miquelon,PM,47.0975,-56.3814,66.2,93,64,12.28,broken clouds,2021-08-07 20:20:27
414,Norman Wells,CA,65.282,-126.8329,51.84,62,90,10.36,overcast clouds,2021-08-07 20:20:27
415,Bom Jardim,BR,-7.7958,-35.5872,75.54,74,40,14.58,scattered clouds,2021-08-07 20:20:27
416,Mana,GF,5.6592,-53.7767,81.32,82,83,3.2,light rain,2021-08-07 20:20:28
417,Canutama,BR,-6.5339,-64.3831,100.06,20,0,1.5,clear sky,2021-08-07 20:20:28
418,Anakapalle,IN,17.6833,83.0167,82.35,83,96,4.68,overcast clouds,2021-08-07 20:20:28
419,Dingle,PH,10.9995,122.6711,76.93,92,89,5.23,light rain,2021-08-07 20:20:29
420,Saint-Augustin,CA,51.226,-58.6502,71.28,73,100,11.16,overcast clouds,2021-08-07 20:20:29
421,Lingyuan,CN,41.24,119.4011,65.66,86,4,1.66,clear sky,2021-08-07 20:20:29
422,Udachnyy,RU,66.4167,112.4,57.42,66,100,3.76,overcast clouds,2021-08-07 20:20:30
423,Acarau,BR,-2.8856,-40.12,82.63,65,87,19.22,overcast clouds,2021-08-07 20:20:30
424,Moron,AR,-34.6534,-58.6198,80.01,68,8,1.36,clear sky,2021-08-07 20:20:30
425,Hami,CN,42.8,93.45,79.86,22,3,8.41,clear sky,2021-08-07 20:20:31
426,Dustlik,UZ,40.5247,68.0358,78.58,22,3,4.76,clear sky,2021-08-07 20:20:31
427,Bac Lieu,VN,9.285,105.7244,79.88,87,95,9.15,overcast clouds,2021-08-07 20:17:05
428,Buala,SB,-8.145,159.5921,78.06,81,100,2.39,light rain,2021-08-07 20:20:31
429,Ancud,CL,-41.8697,-73.8203,53.42,70,79,8.86,broken clouds,2021-08-07 20:20:32
430,Morgan City,US,29.6994,-91.2068,95.04,48,0,5.57,clear sky,2021-08-07 20:20:32
431,Xining,CN,36.6167,101.7667,57.4,77,100,2.91,overcast clouds,2021-08-07 20:20:33
432,Bassila,BJ,9.0081,1.6654,73.06,87,100,3.96,overcast clouds,2021-08-07 20:20:34
433,Saint Anthony,US,45.0205,-93.218,73.54,91,90,4.0,mist,2021-08-07 20:20:34
434,Komarikhinskiy,RU,58.0979,57.1163,50.99,90,1,4.47,clear sky,2021-08-07 20:20:34
435,Escuintla,GT,14.305,-90.785,85.62,70,82,3.47,broken clouds,2021-08-07 20:20:35
436,Vung Tau,VN,10.346,107.0843,80.19,85,100,11.99,overcast clouds,2021-08-07 20:20:35
437,Tiznit,MA,29.5833,-9.5,65.82,78,15,6.24,few clouds,2021-08-07 20:20:36
438,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,91.53,18,0,3.91,clear sky,2021-08-07 20:18:50
439,Santa Rosa,PH,14.3122,121.1114,83.1,85,99,5.97,overcast clouds,2021-08-07 20:20:36
440,Betioky,MG,-23.7167,44.3833,63.3,59,2,3.91,clear sky,2021-08-07 20:20:36
441,Conakry,GN,9.538,-13.6773,78.87,78,20,6.91,few clouds,2021-08-07 20:20:37
442,Eirunepe,BR,-6.6603,-69.8736,98.22,23,0,0.27,clear sky,2021-08-07 20:20:37
443,Aldan,RU,58.6031,125.3894,55.69,85,33,5.95,scattered clouds,2021-08-07 20:20:37
444,Aromashevo,RU,56.8602,68.6375,57.96,88,97,7.43,overcast clouds,2021-08-07 20:20:38
445,Los Alamos,US,35.8881,-106.307,89.02,14,1,3.0,clear sky,2021-08-07 20:20:38
446,Belmonte,BR,-15.8631,-38.8828,75.2,67,19,11.43,few clouds,2021-08-07 20:20:38
447,Walvis Bay,NA,-22.9575,14.5053,56.08,87,1,3.44,clear sky,2021-08-07 20:20:39
448,Kalmunai,LK,7.4167,81.8167,79.16,85,100,4.45,overcast clouds,2021-08-07 20:20:39
449,Silleda,ES,42.696,-8.2465,59.61,75,84,3.22,broken clouds,2021-08-07 20:20:39
450,Chake Chake,TZ,-5.2459,39.7666,72.48,84,27,7.61,scattered clouds,2021-08-07 20:20:40
451,Bilibino,RU,68.0546,166.4372,50.13,60,12,8.43,few clouds,2021-08-07 20:20:40
452,Dolinsk,RU,47.35,142.8,57.06,80,100,17.02,overcast clouds,2021-08-07 20:20:40
453,Yar-Sale,RU,66.8333,70.8333,58.05,84,6,10.78,clear sky,2021-08-07 20:20:40
454,Tabuk,PH,17.4189,121.4443,76.98,79,100,2.44,overcast clouds,2021-08-07 20:20:41
455,Talara,PE,-4.5772,-81.2719,74.16,64,0,17.27,clear sky,2021-08-07 20:20:41
456,Nhlangano,SZ,-27.1167,31.2,50.77,74,0,2.21,clear sky,2021-08-07 20:20:41
457,Novo Aripuana,BR,-5.1206,-60.3797,96.64,27,62,3.11,broken clouds,2021-08-07 20:20:42
458,Zyryanovsk,KZ,49.7386,84.2719,56.23,77,6,1.68,clear sky,2021-08-07 20:20:42
459,Vikhorevka,RU,56.1201,101.1636,51.39,61,2,3.24,clear sky,2021-08-07 20:20:42
460,Safaga,EG,26.7292,33.9365,92.79,36,0,5.44,clear sky,2021-08-07 20:20:43
461,Virginia Beach,US,36.8529,-75.978,78.85,86,90,12.66,overcast clouds,2021-08-07 20:19:20
462,Mokhsogollokh,RU,61.4681,128.9203,55.08,65,18,8.57,few clouds,2021-08-07 20:20:43
463,Wewak,PG,-3.5534,143.6268,76.37,89,98,4.61,overcast clouds,2021-08-07 20:20:44
464,Zhigansk,RU,66.7697,123.3711,64.99,39,99,17.96,overcast clouds,2021-08-07 20:20:44
465,Viedma,AR,-40.8135,-62.9967,55.04,23,100,13.53,overcast clouds,2021-08-07 20:20:44
466,Tangshan,CN,39.6333,118.1833,71.17,87,0,1.97,light rain,2021-08-07 20:20:45
467,Hare Bay,CA,48.8499,-54.0148,79.95,53,100,13.2,overcast clouds,2021-08-07 20:20:45
468,Bourail,NC,-21.5667,165.4833,63.25,78,100,3.27,overcast clouds,2021-08-07 20:20:45
469,Dondo,MZ,-19.6094,34.7431,65.71,91,0,5.26,clear sky,2021-08-07 20:20:45
470,Shonguy,RU,68.7526,33.146,57.27,82,0,6.71,clear sky,2021-08-07 20:20:46
471,Piacabucu,BR,-10.4056,-36.4344,74.41,67,5,12.37,clear sky,2021-08-07 20:20:46
472,Canguaretama,BR,-6.38,-35.1289,81.09,73,66,18.05,broken clouds,2021-08-07 20:20:46
473,Harbour Breton,CA,47.4833,-55.7983,62.17,94,99,10.56,overcast clouds,2021-08-07 20:20:47
474,Banyo,CM,6.75,11.8167,64.17,96,85,2.75,light rain,2021-08-07 20:20:47
