City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
581,Krasni Okny,UA,63.99,clear sky,47.5404,29.46,Центральный парк
582,Impfondo,CG,69.98,light rain,1.6381,18.0667,Auberge La Place de Jules
585,Bunia,CD,62.65,moderate rain,1.5667,30.25,Gold Star International Hotel
586,Port-Gentil,GA,75.16,light rain,-0.7193,8.7815,Fengshui Residence
587,Grand Gaube,MU,70.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
588,Ivanteyevka,RU,73.74,overcast clouds,55.9711,37.9208,New Slides
589,Zempoala,MX,89.91,overcast clouds,19.45,-96.4167,Panteon Cempoala
591,Roebourne,AU,69.94,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
592,Clyde,US,88.11,few clouds,41.3042,-82.9752,Red Roof Inn Clyde
594,Bereda,ES,60.55,clear sky,43.2686,-7.5406,Pazo de Verdes
595,Zapolyarnyy,RU,61.88,few clouds,69.4154,30.8136,Pechenga
597,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
599,Goderich,CA,85.03,clear sky,43.7501,-81.7165,Harmony Inn
600,Surany,SK,77.45,clear sky,48.0861,18.1845,Tyche
602,Sucua,EC,84.94,light rain,-2.4667,-78.1667,Hotel Orellana
603,Fort Washington,US,76.86,overcast clouds,38.7073,-77.023,Pure Nuphoria Bed&Breakfast
604,Ucar,AZ,83.73,scattered clouds,40.519,47.6542,Aşura market
605,San Vicente De Canete,PE,66.06,scattered clouds,-13.0751,-76.3835,Hotel Konford
608,Pochutla,MX,85.05,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
610,Vila Velha,BR,67.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
611,Chernyshevsk,RU,65.61,overcast clouds,52.5243,117.0174,Inn Na Tsentralnoy
612,Anantnag,IN,64.2,scattered clouds,33.7333,75.15,Hotel Vivek
614,Rostock,DE,61.97,overcast clouds,54.0887,12.1405,Das Hotel an der Stadthalle Rostock
615,Erenhot,CN,78.15,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
619,Makhinjauri,GE,73.26,scattered clouds,41.6739,41.694,Golden Anchor
620,San Juan De Los Morros,VE,82.27,broken clouds,9.9115,-67.3538,Hotel La Montaña
622,Rocha,UY,71.73,clear sky,-34.4833,-54.3333,Beleza Pura B&B
624,Wattegama,LK,75.27,overcast clouds,6.7989,81.4808,
625,Sayyan,YE,64.65,broken clouds,15.1718,44.3244,متنزه و بحيرة سيان
626,Itaquyry,PY,84.36,clear sky,-24.9333,-55.2167,Posada Santa Celina
628,Sikandra,IN,81.86,broken clouds,26.3667,79.65,Rahi Hotel
629,Fonte Boa,BR,83.32,overcast clouds,-2.4959,-66.2662,
631,Bacolod,PH,78.62,light rain,10.6667,122.95,Planta Hotel & Residences
632,Liling,CN,82.29,broken clouds,27.6667,113.5,Shangri-La Hotel
633,Nichinan,JP,77.27,overcast clouds,31.6,131.3667,Guest House Aki
634,Tambun,ID,80.49,clear sky,-6.2641,107.0712,@HOM Premiere Tambun
635,Salalah,OM,78.89,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
638,Faya,SA,64.51,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
640,Eratira,GR,72.86,clear sky,40.35,21.5167,Basil Karamalis & Co Touristikes Epicheiriseis - Myrichos O.E.
641,Palauig,PH,81.16,overcast clouds,15.435,119.9045,Gilbert Resuello
642,Sandur,IN,72.34,broken clouds,15.1,76.55,"WelcomHeritage Shivavilas Palace Hotel, Hampi"
645,Tawau,MY,80.2,moderate rain,4.2498,117.8871,Shervinton Executive Boutique Hotel
646,Charlottesville,US,84.42,clear sky,38.0293,-78.4767,Hampton Inn & Suites Charlottesville-At The University
647,Klyuchi,RU,65.97,few clouds,52.2667,79.1667,Vesolaya Mayovka
648,Novocheremshansk,RU,63.93,few clouds,54.3571,50.1666,
650,Micheweni,TZ,73.92,few clouds,-4.9667,39.8333,
651,Nokaneng,BW,64.11,clear sky,-19.6667,22.2667,
653,Kathmandu,NP,71.82,moderate rain,27.7167,85.3167,Hotel Shanker Kathmandu
654,Zheleznodorozhnyy,RU,73.62,light rain,55.7503,38.0042,Hotel Dali
655,Oistins,BB,86.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
657,Itum-Kale,RU,72.05,overcast clouds,42.7356,45.5758,Мини-отель ASTAR
660,Norsup,VU,75.38,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
662,Omboue,GA,74.34,overcast clouds,-1.5746,9.2618,Hotel Olako
663,Yumen,CN,69.82,clear sky,40.2833,97.2,
664,Preobrazheniye,RU,68.18,overcast clouds,42.9019,133.9064,Campsite Orlan
666,Malanje,AO,70.12,overcast clouds,-9.5402,16.341,Malanje Hotel
667,Mehamn,NO,62.44,broken clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
669,Kattivakkam,IN,86.09,scattered clouds,13.2167,80.3167,Euronova Freezer
671,Puerto Princesa,PH,80.22,broken clouds,9.7392,118.7353,Deep Forest Garden Inn
672,Esmeraldas,BR,69.91,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
673,Apricena,IT,80.42,clear sky,41.7839,15.4437,Bed & Breakfast CORSO ROMA
674,Muravlenko,RU,64.69,overcast clouds,63.7898,74.523,Hostel Rus Muravlenko
675,Cap Malheureux,MU,70.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
677,Bad Sackingen,DE,62.51,overcast clouds,47.5537,7.9461,SAPIA Hotel Sankt Fridolin
678,Haines Junction,CA,60.75,scattered clouds,60.7522,-137.5108,Parkside Inn
679,Quesnel,CA,70.3,few clouds,52.9999,-122.5029,Ramada by Wyndham Quesnel
681,Marzuq,YE,86.58,overcast clouds,14.4,46.4667,
683,Bilaspur,IN,80.29,overcast clouds,22.0833,82.15,Hotel East Park
685,Tongliao,CN,69.85,few clouds,43.6125,122.2653,Meirujia Hotel
686,Riviere-Au-Renard,CA,77.29,overcast clouds,48.9957,-64.3971,Auberge Le Caribou
690,Labuhan,ID,77.59,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
692,Xiamen,CN,82.45,mist,24.4798,118.0819,Xiamen Dongchen Hotel
695,Athabasca,CA,68.41,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
697,Dafeng,CN,80.71,overcast clouds,23.4517,108.5881,Shenglong Hotel
699,Crotone,IT,75.92,clear sky,39.0851,17.1178,Helios Hotel
700,Warri,NG,76.91,overcast clouds,5.5167,5.75,BON Hotel Delta
701,Eyrarbakki,IS,62.2,overcast clouds,63.863,-21.1481,Guesthouse 77
704,Pavlovka,RU,69.06,scattered clouds,52.6897,47.1405,Rus'
705,Mount Pleasant,US,82.38,light rain,32.7941,-79.8626,Best Western Patriots Point
706,Katsina,NG,83.59,overcast clouds,12.9894,7.6006,Katsina Motel
707,Kilindoni,TZ,75.4,clear sky,-7.9139,39.6668,Bustani B&B
708,Bima,ID,73.33,overcast clouds,-8.4667,118.7167,Lambitu Hotel
